ENG_SUB_SERIES,ENG_MASTER_SERIES,ENG_MANUFACTURER
PW120A,PW100,Pratt & Whitney Canada
PW121,PW100,Pratt & Whitney Canada
PW1217G,PW1200G,Pratt & Whitney
PW121A,PW100,Pratt & Whitney Canada
PW123,PW100,Pratt & Whitney Canada
PW123AF,PW100,Pratt & Whitney Canada
PW123B,PW100,Pratt & Whitney Canada
PW123C,PW100,Pratt & Whitney Canada
PW123D,PW100,Pratt & Whitney Canada
PW123E,PW100,Pratt & Whitney Canada
PW124B,PW100,Pratt & Whitney Canada
PW125B,PW100,Pratt & Whitney Canada
PW126,PW100,Pratt & Whitney Canada
PW126A,PW100,Pratt & Whitney Canada
PW127,PW100,Pratt & Whitney Canada
PW127A,PW100,Pratt & Whitney Canada
PW127B,PW100,Pratt & Whitney Canada
PW127C,PW100,Pratt & Whitney Canada
PW127D,PW100,Pratt & Whitney Canada
PW127E,PW100,Pratt & Whitney Canada
PW127F,PW100,Pratt & Whitney Canada
PW127G,PW100,Pratt & Whitney Canada
PW127H,PW100,Pratt & Whitney Canada
PW127J,PW100,Pratt & Whitney Canada
PW127M,PW100,Pratt & Whitney Canada
PW127N,PW100,Pratt & Whitney Canada
PW1431G-JM,PW1400G,Pratt & Whitney
PW150A,PW100,Pratt & Whitney Canada
PW150C,PW100,Pratt & Whitney Canada
PW1519G,PW1500G,Pratt & Whitney
PW1521G-3,PW1500G,Pratt & Whitney
PW1521GA,PW1500G,Pratt & Whitney
PW1524G,PW1500G,Pratt & Whitney
PW1524G-3,PW1500G,Pratt & Whitney
PW1700G,PW1700G,Pratt & Whitney
PW1919G,PW1900G,Pratt & Whitney
PW1921G,PW1900G,Pratt & Whitney
PW2037,PW2000,Pratt & Whitney
PW2037M,PW2000,Pratt & Whitney
PW2040,PW2000,Pratt & Whitney
PW305,PW300,Pratt & Whitney Canada
PW305A,PW300,Pratt & Whitney Canada
PW305B,PW300,Pratt & Whitney Canada
PW306A,PW300,Pratt & Whitney Canada
PW306B,PW300,Pratt & Whitney Canada
PW306C,PW300,Pratt & Whitney Canada
PW306D,PW300,Pratt & Whitney Canada
PW306D1,PW300,Pratt & Whitney Canada
PW307A,PW300,Pratt & Whitney Canada
PW307B,PW300,Pratt & Whitney Canada
PW307D,PW300,Pratt & Whitney Canada
PW308A,PW300,Pratt & Whitney Canada
PW308C,PW300,Pratt & Whitney Canada
PW4052,PW4000,Pratt & Whitney
PW4056,PW4000,Pratt & Whitney
PW4060,PW4000,Pratt & Whitney
PW4060-1,PW4000,Pratt & Whitney
PW4060-1/3,PW4000,Pratt & Whitney
PW4060-1C,PW4000,Pratt & Whitney
PW4060-3,PW4000,Pratt & Whitney
PW4060C,PW4000,Pratt & Whitney
PW4062,PW4000,Pratt & Whitney
PW4062-3,PW4000,Pratt & Whitney
PW4062A,PW4000,Pratt & Whitney
PW4074D,PW4000,Pratt & Whitney
PW4077,PW4000,Pratt & Whitney
PW4084,PW4000,Pratt & Whitney
PW4084D,PW4000,Pratt & Whitney
PW4090,PW4000,Pratt & Whitney
PW4152,PW4000,Pratt & Whitney
PW4156A,PW4000,Pratt & Whitney
PW4158,PW4000,Pratt & Whitney
PW4164,PW4000,Pratt & Whitney
PW4168,PW4000,Pratt & Whitney
PW4168A,PW4000,Pratt & Whitney
PW4168A-1D,PW4000,Pratt & Whitney
PW4170,PW4000,Pratt & Whitney
PW4460,PW4000,Pratt & Whitney
PW4462,PW4000,Pratt & Whitney
PW4462-3,PW4000,Pratt & Whitney
PW530A,PW500,Pratt & Whitney Canada
PW535A,PW500,Pratt & Whitney Canada
PW535B,PW500,Pratt & Whitney Canada
PW535E,PW500,Pratt & Whitney Canada
PW545A,PW500,Pratt & Whitney Canada
PW545B,PW500,Pratt & Whitney Canada
PW545C,PW500,Pratt & Whitney Canada
PW610,PW610,Pratt & Whitney Canada
PW610F-A,PW610,Pratt & Whitney Canada
PW6122A,PW6000,Pratt & Whitney
PW6124A,PW6000,Pratt & Whitney
PW615F-A,PW610,Pratt & Whitney Canada
PW617F-1E,PW610,Pratt & Whitney Canada
PW617F-E,PW610,Pratt & Whitney Canada
PW814GA,PW800,Pratt & Whitney Canada
PW815GA,PW800,Pratt & Whitney Canada
R-2000-11,R2000,Pratt & Whitney
R-2600,R2600,Pratt & Whitney
R-2800-34M1,R2800,Pratt & Whitney
R-2800-43,R2800,Pratt & Whitney
R-2800-51,R2800,Pratt & Whitney
R-2800-75,R2800,Pratt & Whitney
R-2800-83AM4A,R2800,Pratt & Whitney
R-2800-97,R2800,Pratt & Whitney
R-2800-99W,R2800,Pratt & Whitney
R-2800-CA15,R2800,Pratt & Whitney
R-2800-CA18,R2800,Pratt & Whitney
R-2800-CA3,R2800,Pratt & Whitney
R-2800-CB16,R2800,Pratt & Whitney
R-2800-CB17,R2800,Pratt & Whitney
R-2800-CB3,R2800,Pratt & Whitney
R-2800-SC14G,R2800,Pratt & Whitney
R-2800C,R2800,Pratt & Whitney
R-2888-97,R2800,Pratt & Whitney
R-3350-18BA1,R3350,Curtiss-Wright
R-3350-18BA3,R3350,Curtiss-Wright
R-3350-18BD1,R3350,Curtiss-Wright
R-3350-18DA1,R3350,Curtiss-Wright
R-3350-18DA3,R3350,Curtiss-Wright
R-3350-18DA4,R3350,Curtiss-Wright
R-3350-18EA1,R3350,Curtiss-Wright
R-3350-18EA2,R3350,Curtiss-Wright
R-3350-18EA3,R3350,Curtiss-Wright
R-3350-34,R3350,Curtiss-Wright
R-3350-75,R3350,Curtiss-Wright
R-3350-91,R3350,Curtiss-Wright
R-4360,R4300,Pratt & Whitney
R2180 TWIN WASP,TWINWASP,Pratt & Whitney
RB211-22B,RB211,Rolls-Royce
RB211-22B-02,RB211,Rolls-Royce
RB211-524B,RB211,Rolls-Royce
RB211-524B-02,RB211,Rolls-Royce
RB211-524B2,RB211,Rolls-Royce
RB211-524B2-02,RB211,Rolls-Royce
RB211-524B4,RB211,Rolls-Royce
RB211-524B4-02,RB211,Rolls-Royce
RB211-524B4I,RB211,Rolls-Royce
RB211-524C2,RB211,Rolls-Royce
RB211-524D4,RB211,Rolls-Royce
RB211-524D4-19,RB211,Rolls-Royce
RB211-524D4XB,RB211,Rolls-Royce
RB211-524G,RB211,Rolls-Royce
RB211-524G/H-T,RB211,Rolls-Royce
RB211-524G/H2-T,RB211,Rolls-Royce
RB211-524G2-T,RB211,Rolls-Royce
RB211-524G3-T,RB211,Rolls-Royce
RB211-524H,RB211,Rolls-Royce
RB211-524H2,RB211,Rolls-Royce
RB211-524H2T-19,RB211,Rolls-Royce
RB211-524HT,RB211,Rolls-Royce
RB211-535C,RB211,Rolls-Royce
RB211-535E4,RB211,Rolls-Royce
RB211-535E4-37,RB211,Rolls-Royce
RB211-535E4-B,RB211,Rolls-Royce
RB211-535E4-C,RB211,Rolls-Royce
RD-3,RD3,Mikulin
RD-3M,RD3,Mikulin
RD-3M-500,RD3,Mikulin
RD-9B,RD-9B,Tumansky
RD36-51A,RD36,Kolesov
SILVERCREST SC-1D,SILVERCREST,SNECMA
SPEY 250,SPEY,Rolls-Royce
SPEY MK 505-5,SPEY,Rolls-Royce
SPEY MK 506,SPEY,Rolls-Royce
SPEY MK 506-14D,SPEY,Rolls-Royce
SPEY MK 511,SPEY,Rolls-Royce
SPEY MK 511-14,SPEY,Rolls-Royce
SPEY MK 511-14D,SPEY,Rolls-Royce
SPEY MK 511-14W,SPEY,Rolls-Royce
SPEY MK 511-5,SPEY,Rolls-Royce
SPEY MK 511-8,SPEY,Rolls-Royce
SPEY MK 512,SPEY,Rolls-Royce
SPEY MK 512-14D,SPEY,Rolls-Royce
SPEY MK 512-14DW,SPEY,Rolls-Royce
SPEY MK 512-5,SPEY,Rolls-Royce
SPEY MK 512-5W,SPEY,Rolls-Royce
SPEY MK 512DW,SPEY,Rolls-Royce
SPEY MK 555-15,SPEY,Rolls-Royce
SPEY MK 555-15H,SPEY,Rolls-Royce
SPEY MK 555-15N,SPEY,Rolls-Royce
SPEY MK 555-15P,SPEY,Rolls-Royce
T34-P6,T34,Pratt & Whitney
T56-A-1,T56,Allison
T56-A-10W,T56,Allison
T56-A-11,T56,Allison
T56-A-11B,T56,Allison
T56-A-14,T56,Allison
T56-A-15,T56,Allison
T56-A-15LFE,T56,Allison
T56-A-7,T56,Allison
T56-A-7B,T56,Allison
T56-A-9D,T56,Allison
T64-GE-10,T64,General Electric
T64-GE-P4D,T64,General Electric
TAY 1,TAY1,Rolls-Royce
TAY MK. 610-8,TAY600,Rolls-Royce
TAY MK. 611-8,TAY600,Rolls-Royce
TAY MK. 611-8C,TAY600,Rolls-Royce
TAY MK. 620-15,TAY600,Rolls-Royce
TAY MK. 650-14,TAY600,Rolls-Royce
TAY MK. 650-15,TAY600,Rolls-Royce
TAY MK. 651-54,TAY600,Rolls-Royce
TEO-540-C1A,TIO-540,Textron-Lycoming (AVCO)
TFE331-3,TFE731,Honeywell
TFE731-2-1C,TFE731,Garrett-AiResearch
TFE731-2-2A,TFE731,Garrett-AiResearch
TFE731-2-2C,TFE731,Garrett-AiResearch
TFE731-20BR-1B,TFE731,Honeywell
TFE731-20R-1B,TFE731,Honeywell
TFE731-2C-1C,TFE731,Garrett-AiResearch
TFE731-2C-2B,TFE731,Garrett-AiResearch
TFE731-2C-3B,TFE731,Honeywell
TFE731-3,TFE731,Honeywell
TFE731-3-1C,TFE731,Garrett-AiResearch
TFE731-3-1D,TFE731,Garrett-AiResearch
TFE731-3-1E,TFE731,Garrett-AiResearch
TFE731-3-1F,TFE731,Garrett-AiResearch
TFE731-3-1G,TFE731,Garrett-AiResearch
TFE731-3-1H,TFE731,Garrett-AiResearch
TFE731-3-1K,TFE731,Garrett-AiResearch
TFE731-3-2B,TFE731,Garrett-AiResearch
TFE731-3-2C,TFE731,Garrett-AiResearch
TFE731-3-3G,TFE731,Garrett-AiResearch
TFE731-3A-200G,TFE731,Garrett-AiResearch
TFE731-3A-2B,TFE731,Garrett-AiResearch
TFE731-3AR-2B,TFE731,Garrett-AiResearch
TFE731-3AR-2B1,TFE731,Garrett-AiResearch
TFE731-3B-100G,TFE731,Garrett-AiResearch
TFE731-3B-100S,TFE731,Garrett-AiResearch
TFE731-3C-100S,TFE731,Garrett-AiResearch
TFE731-3C-200G,TFE731,Garrett-AiResearch
TFE731-3CR-100S,TFE731,Garrett-AiResearch
TFE731-3CR-3B,TFE731,Garrett-AiResearch
TFE731-3D-1C,TFE731,Garrett-AiResearch
TFE731-3D-1G,TFE731,Garrett-AiResearch
TFE731-3D-1H,TFE731,Garrett-AiResearch
TFE731-3DR-1H,TFE731,Garrett-AiResearch
TFE731-3R-1D,TFE731,Garrett-AiResearch
TFE731-3R-1H,TFE731,Garrett-AiResearch
TFE731-3R-3D,TFE731,Garrett-AiResearch
TFE731-4-1C,TFE731,Garrett-AiResearch
TFE731-40,TFE731,Garrett-AiResearch
TFE731-40AR-200G,TFE731,Honeywell
TFE731-40BR,TFE731,Honeywell
TFE731-40BR-1B,TFE731,Honeywell
TFE731-50R,TFE731,Honeywell
TFE731-5AR-1C2,TFE731,Garrett-AiResearch
TFE731-5AR-2C,TFE731,Garrett-AiResearch
TFE731-5BR-1C2,TFE731,Garrett-AiResearch
TFE731-5BR-2C,TFE731,Garrett-AiResearch
TFE731-5R-1H,TFE731,Garrett-AiResearch
TIO-540-AH1A,TIO-540,Textron-Lycoming (AVCO)
TPE331-1-100,TPE331,Garrett-AiResearch
TPE331-1-101F,TPE331,Garrett-AiResearch
TPE331-1-151A,TPE331,Garrett-AiResearch
TPE331-1-151G,TPE331,Garrett-AiResearch
TPE331-1-151K,TPE331,Garrett-AiResearch
TPE331-10-252D,TPE331,Garrett-AiResearch
TPE331-10-501C,TPE331,Garrett-AiResearch
TPE331-10-501K,TPE331,Garrett-AiResearch
TPE331-10-501M,TPE331,Garrett-AiResearch
TPE331-10-511C,TPE331,Garrett-AiResearch
TPE331-10-511K,TPE331,Garrett-AiResearch
TPE331-10-511S,TPE331,Honeywell
TPE331-10-512C,TPE331,Garrett-AiResearch
TPE331-10-513K,TPE331,Garrett-AiResearch
TPE331-10-534S,TPE331,Honeywell
TPE331-10AV-511B,TPE331,Honeywell
TPE331-10GR-515H,TPE331,Garrett-AiResearch
TPE331-10GT,TPE331,Honeywell
TPE331-10GT-511D,TPE331,Garrett-AiResearch
TPE331-10N-514-10,TPE331,Honeywell
TPE331-10N-515SA,TPE331,Honeywell
TPE331-10N-533S,TPE331,Garrett-AiResearch
TPE331-10P-511D,TPE331,Garrett-AiResearch
TPE331-10R-501C,TPE331,Garrett-AiResearch
TPE331-10R-511C,TPE331,Garrett-AiResearch
TPE331-10R-512S,TPE331,Garrett-AiResearch
TPE331-10R-513C,TPE331,Garrett-AiResearch
TPE331-10T-511D,TPE331,Garrett-AiResearch
TPE331-10T-511M,TPE331,Honeywell
TPE331-10T-512K,TPE331,Garrett-AiResearch
TPE331-10T-513K,TPE331,Garrett-AiResearch
TPE331-10U-303G,TPE331,Garrett-AiResearch
TPE331-10U-501G,TPE331,Garrett-AiResearch
TPE331-10U-502G,TPE331,Garrett-AiResearch
TPE331-10U-503G,TPE331,Garrett-AiResearch
TPE331-10U-511G,TPE331,Garrett-AiResearch
TPE331-10U-512G,TPE331,Garrett-AiResearch
TPE331-10U-513G,TPE331,Garrett-AiResearch
TPE331-10UA,TPE331,Garrett-AiResearch
TPE331-10UA-511,TPE331,Garrett-AiResearch
TPE331-10UA-511G,TPE331,Garrett-AiResearch
TPE331-10UA-511G-10,TPE331,Garrett-AiResearch
TPE331-10UA-512G,TPE331,Garrett-AiResearch
TPE331-10UF-511,TPE331,Garrett-AiResearch
TPE331-10UF-511H,TPE331,Garrett-AiResearch
TPE331-10UF-512,TPE331,Garrett-AiResearch
TPE331-10UF-513,TPE331,Garrett-AiResearch
TPE331-10UF-513H,TPE331,Garrett-AiResearch
TPE331-10UF-516H,TPE331,Garrett-AiResearch
TPE331-10UG-513,TPE331,Garrett-AiResearch
TPE331-10UG-513H,TPE331,Garrett-AiResearch
TPE331-10UG-514,TPE331,Garrett-AiResearch
TPE331-10UG-514H,TPE331,Garrett-AiResearch
TPE331-10UG-515H,TPE331,Garrett-AiResearch
TPE331-10UG-516,TPE331,Garrett-AiResearch
TPE331-10UG-516H,TPE331,Garrett-AiResearch
TPE331-10UGR-513,TPE331,Garrett-AiResearch
TPE331-10UGR-513H,TPE331,Garrett-AiResearch
TPE331-10UGR-514H,TPE331,Garrett-AiResearch
TPE331-10UGR-515H,TPE331,Garrett-AiResearch
TPE331-10UGR-516H,TPE331,Garrett-AiResearch
TPE331-10UR-513,TPE331,Garrett-AiResearch
TPE331-10UR-513H,TPE331,Garrett-AiResearch
TPE331-10UR-516H,TPE331,Garrett-AiResearch
TPE331-10V-511B,TPE331,Garrett-AiResearch
TPE331-11U-511G,TPE331,Garrett-AiResearch
TPE331-11U-601G,TPE331,Garrett-AiResearch
TPE331-11U-611G,TPE331,Garrett-AiResearch
TPE331-11U-612G,TPE331,Garrett-AiResearch
TPE331-11UA-601G,TPE331,Garrett-AiResearch
TPE331-12JR,TPE331,Garrett-AiResearch
TPE331-12U-701G,TPE331,Garrett-AiResearch
TPE331-12UA-701,TPE331,Garrett-AiResearch
TPE331-12UA-702H,TPE331,Garrett-AiResearch
TPE331-12UA-703H,TPE331,Garrett-AiResearch
TPE331-12UA-705,TPE331,Garrett-AiResearch
TPE331-12UAR-701,TPE331,Garrett-AiResearch
TPE331-12UAR-701G,TPE331,Garrett-AiResearch
TPE331-12UAR-701H,TPE331,Garrett-AiResearch
TPE331-12UAR-702H,TPE331,Garrett-AiResearch
TPE331-12UAR-703H,TPE331,Garrett-AiResearch
TPE331-12UAR-704,TPE331,Garrett-AiResearch
TPE331-12UAR-705H,TPE331,Garrett-AiResearch
TPE331-12UGR-514H,TPE331,Garrett-AiResearch
TPE331-12UH-701G,TPE331,Garrett-AiResearch
TPE331-12UH-702,TPE331,Garrett-AiResearch
TPE331-12UHR-701,TPE331,Garrett-AiResearch
TPE331-12UHR-701G,TPE331,Garrett-AiResearch
TPE331-12UHR-701H,TPE331,Garrett-AiResearch
TPE331-12UHR-702H,TPE331,Garrett-AiResearch
TPE331-12UHR-703H,TPE331,Garrett-AiResearch
TPE331-12UHR-704H,TPE331,Garrett-AiResearch
TPE331-14A/B,TPE331,Garrett-AiResearch
TPE331-14G-HR-802H,TPE331,Garrett-AiResearch
TPE331-14G-HR-805H,TPE331,Garrett-AiResearch
TPE331-14GR-802H,TPE331,Garrett-AiResearch
TPE331-14GR-805H,TPE331,Garrett-AiResearch
TPE331-14GR-807H,TPE331,Garrett-AiResearch
TPE331-14HR-801H,TPE331,Garrett-AiResearch
TPE331-14HR-802H,TPE331,Garrett-AiResearch
TPE331-14HR-805H,TPE331,Garrett-AiResearch
TPE331-14HR-807H,TPE331,Garrett-AiResearch
TPE331-14HR-901H,TPE331,Garrett-AiResearch
TPE331-2-201A,TPE331,Garrett-AiResearch
TPE331-25A,TPE331,Garrett-AiResearch
TPE331-25D,TPE331,Garrett-AiResearch
TPE331-2U-203,TPE331,Garrett-AiResearch
TPE331-3U-303G,TPE331,Garrett-AiResearch
TPE331-3UW-303G,TPE331,Garrett-AiResearch
TPE331-3UW-304G,TPE331,Garrett-AiResearch
TPE331-3W-3,TPE331,Garrett-AiResearch
TPE331-43,TPE331,Garrett-AiResearch
TPE331-5-251C,TPE331,Garrett-AiResearch
TPE331-5-251K,TPE331,Garrett-AiResearch
TPE331-5-252M,TPE331,Garrett-AiResearch
TPE331-5-254K,TPE331,Garrett-AiResearch
TPE331-5A-252D,TPE331,Garrett-AiResearch
TPE331-6-10,TPE331,Garrett-AiResearch
TPE331-6-251B,TPE331,Garrett-AiResearch
TPE331-6-251M,TPE331,Garrett-AiResearch
TPE331-6-252B,TPE331,Garrett-AiResearch
TPE331-6-252T,TPE331,Garrett-AiResearch
TPE331-8-401S,TPE331,Garrett-AiResearch
TPE331-8-402S,TPE331,Garrett-AiResearch
TPE331-8-403S,TPE331,Garrett-AiResearch
TPE331-8-511S,TPE331,Honeywell
TPF351-20,TPF351,Garrett-AiResearch
TRENT 1000-D2,Trent 1000,Rolls-Royce
TRENT 1000-G,Trent 1000,Rolls-Royce
TRENT 1000-J2,,Rolls-Royce
TRENT XWB-74,Trent XWB,Rolls-Royce
TRENT XWB-83,Trent XWB,Rolls-Royce
TRENT XWB-92,Trent XWB,Rolls-Royce
TSIO-520-E,TSIO,Teledyne Continental
TSIO-520-VB,TSIO,Teledyne Continental
TSIO-550-B,TSIO,Teledyne Continental
TV-3-117VMA,TV3,Klimov
TV7-117C,TV7,Klimov
TV7-117SM-01,TV7,Klimov
TV7-117ST,TV7,Klimov
TVD-10B,TVD-10,PZL-Mielec
TVD-10S,TVD-10,PZL-Mielec
TVD-20-03,TVD-20,Isotov
TVD-850,TVD-850,Isotov
TWD-10,TWD-10,Glushenkov
TYNE 20 MK 22,TYNE,Rolls-Royce
TYNE 515/10,TYNE,Rolls-Royce
TYNE 515/12,TYNE,Rolls-Royce
TYNE MK 506,TYNE,Rolls-Royce
TYNE MK 506-10,TYNE,Rolls-Royce
TYNE MK 512,TYNE,Rolls-Royce
TYNE MK 515-101W,TYNE,Rolls-Royce
V2500-A1,V2500,International Aero Engines
V2522-A5,V2500,International Aero Engines
V2524-A5,V2500,International Aero Engines
V2525-D5,V2500,International Aero Engines
V2527-A5,V2500,International Aero Engines
V2527E-A5,V2500,International Aero Engines
V2527M-A5,V2500,International Aero Engines
V2528-D5,V2500,International Aero Engines
V2530-A5,V2500,International Aero Engines
V2533-A5,V2500,International Aero Engines
VIPER MK.520,VIPER,Rolls-Royce
VIPER MK.521,VIPER,Rolls-Royce
VIPER MK.522,VIPER,Rolls-Royce
VIPER MK.526,VIPER,Bristol-Siddeley
VIPER MK.601,VIPER,Rolls-Royce
VIPER MK.601-22,VIPER,Rolls-Royce
WASP 2SD13-G,WASP,Pratt & Whitney
WS-20,WS-20,AVIC
YF-102,ALF502,Textron-Lycoming (AVCO)
AE 2100A,AE2100,Rolls-Royce
AE 2100C,AE2100,Rolls-Royce
AE 3007C,AE3007,Rolls-Royce
ASN 250-B17C,ASN250,Rolls-Royce
ASN 250-B17F,ASN250,Rolls-Royce
BR700-710A1-10,BR700,Rolls-Royce
BR700-710A2-20,BR700,Rolls-Royce
BR700-715A1-30,BR700,Rolls-Royce
BR700-715C1-30,BR700,Rolls-Royce
BR715A1-30,BR700,Rolls-Royce
BR715C1-30,BR700,Rolls-Royce
G.Q. 30 MK.2,GQ30,De Havilland
M601,M600,Walter - Motorlet
M601A,M600,Walter - Motorlet
M601B,M600,Walter - Motorlet
M601D,M600,Walter - Motorlet
M601E,M600,Walter - Motorlet
M601E-11,M600,Walter - Motorlet
M601E-11A,M600,Walter - Motorlet
M601F,M600,Walter - Motorlet
M601F-11,M600,Walter - Motorlet
M602,M600,Walter - Motorlet
PS-90A,PS90,Perm
SAM146-1S17,SAM146,Powerjet
SAM146-1S18,SAM146,Powerjet
TFE731-2-2B,TFE731,Honeywell
TFE731-2-3B,TFE731,Honeywell
TFE731-20AR,TFE731,Honeywell
TFE731-20AR-1B,TFE731,Honeywell
TFE731-20R,TFE731,Honeywell
TFE731-40-1C,TFE731,Honeywell
TFE731-40R-200G,TFE731,Honeywell
TFE731-4R-2S,TFE731,Honeywell
TFE731-5BR-1C,TFE731,Honeywell
TFE731-5BR-1H,TFE731,Honeywell
TFE731-60-1C,TFE731,Honeywell
TPE331-10-535S,TPE331,Honeywell
TPE331-10AV,TPE331,Honeywell
TPE331-10GP-511D,TPE331,Honeywell
TPE331-10N,TPE331,Honeywell
TPE331-10N-512S,TPE331,Honeywell
TPE331-10N-515S,TPE331,Honeywell
TPE331-10R-512C,TPE331,Honeywell
TPE331-10T,TPE331,Honeywell
TPE331-12JR (CE208A),TPE331,Honeywell
TPE331-12JR (CE208B),TPE331,Honeywell
TPE331-12JR-701C,TPE331,Honeywell
TPE331-14GR,TPE331,Honeywell
TPE331-14GR-801,TPE331,Honeywell
TPE331-5-252D,TPE331,Honeywell
TRENT 1000-A,Trent 1000,Rolls-Royce
TRENT 1000-D,Trent 1000,Rolls-Royce
TRENT 1000-J,Trent 1000,Rolls-Royce
TRENT 1000-K,Trent 1000,Rolls-Royce
TRENT 1000-TEN,Trent 1000,Rolls-Royce
TRENT 553-61,Trent 500,Rolls-Royce
TRENT 553A2-61,Trent 500,Rolls-Royce
TRENT 556-61,Trent 500,Rolls-Royce
TRENT 556A2-61,Trent 500,Rolls-Royce
TRENT 7000-72,Trent 7000,Rolls-Royce
TRENT 768-60,Trent 700,Rolls-Royce
TRENT 772-60,Trent 700,Rolls-Royce
TRENT 772B-60,Trent 700,Rolls-Royce
TRENT 772C-60,Trent 700,Rolls-Royce
TRENT 875-17,Trent 800,Rolls-Royce
TRENT 877-17,Trent 800,Rolls-Royce
TRENT 884,Trent 800,Rolls-Royce
TRENT 884-17,Trent 800,Rolls-Royce
TRENT 892,Trent 800,Rolls-Royce
TRENT 892-17,Trent 800,Rolls-Royce
TRENT 892B,Trent 800,Rolls-Royce
TRENT 892B-17,Trent 800,Rolls-Royce
TRENT 895,Trent 800,Rolls-Royce
TRENT 895-17,Trent 800,Rolls-Royce
TRENT 970-84,Trent 900,Rolls-Royce
TRENT 972-84,Trent 900,Rolls-Royce
TRENT 972E-84,Trent 900,Rolls-Royce
TRENT XWB-75,Trent XWB,Rolls-Royce
TRENT XWB-84,Trent XWB,Rolls-Royce
TRENT XWB-87,Trent XWB,Rolls-Royce
TRENT XWB-97,Trent XWB,Rolls-Royce
WJ-5A-1,WJ,Dongan Engine Mfr Co.
WJ-6,WJ6,Zhuzhou South Aero-Engine Co.
WJ-6A,WJ6,Zhuzhou South Aero-Engine Co.
WJ-6C,WJ6,Zhuzhou South Aero-Engine Co.
WJ-9,WH,Zhuzhou South Aero-Engine Co.
